18.6,Cooperative ,Finca Angamaza,Ecuador,"Conganama, Loja",Washed Yeast-Fermented,Field blend,X,,X,,,9,6,3,0,7,7,5,2,0,0,0,1,3,0,7,1,7,,8
23.1,Regalia,Asman Arianto,Indonesia,"Aceh, Sumatra",Natural,"Bor Bor, Ateng, Timor",X,,X,,,9,5,7,0,8,9,5,8,0,0,0,1,4,2,9,1,4,,10
26.4,ilse Coffee,KII AA,Keyna,Kirinyaga,Washed,Field blend,X,,X,,,5,8,6,0,0,8,9,7,0,0,0,0,6,0,9,9,7,,8
25.9,September,Karimikui AA,Kenya,Kirinyaga,Double Washed,"SL28, SL34, Batian, Ruiru",X,,X,,,5,8,9,0,0,7,7,5,1,0,0,0,7,3,8,8,6,,6
15.3,Tim Wendelboe,"Bourbon Elite, Diego Baraona",El Salvador,"Tecapa, Usulutan",Honey,Los Pirneos,X,,X,,,7,7,8,0,2,4,0,0,0,4,0,1,6,0,7,5,5,,4
28,Flower child ,MANUEL MARLO,Peru,"Lonya Grande, Amazonas",Washed,Gesha ,,X,X,,,7,2,10,0,0,4,8,9,0,0,0,0,4,6,10,10,8,,10
25.1,SK,"Finca Gascón, Felipe Contreras",Guatemala ,Antigua,Koji Natural,Caturra,,X,X,,,5,8,8,2,10,8,7,3,0,0,0,0,5,7,9,1,4,,8
25.1,SK,"Las Lajas Micromill, Finca los pintos, Francisca and Oscar Chacon",Costa Rica,Alajuela,Black Diamond Natural,Laurina,X,,X,,,8,4,9,0,8,8,5,7,1,0,0,0,2,8,7,0,8,,9
22.5,Sey,Ngugu-ini,Kenya,Kirinyaga,Washed,Field blend,,X,,X,,9,10,3,0,0,3,8,3,0,0,0,0,2,1,7,8,9,,8
23.3,Sey,Franci Elena,Columbia ,Julia,Washed,Pink Bourbon,,X,X,,,9,6,7,0,0,8,7,4,0,0,0,0,3,2,3,8,8,,8
19.4,Sey,Hezza ,Burundi,Kayanza,Washed,Field blend,,X,X,,,6,3,5,0,0,5,8,2,2,0,0,0,2,7,4,9,2,,9
21.1,Dayglow,Nestor Lasso ,Columbia ,Huila ,Anaerobic Natural ,Bourbon Sidra,,X,X,,,8,3,6,0,5,10,7,4,0,0,0,0,3,2,5,0,8,,10
20.7,H&S,El Silencio PB,Columbia ,Huila,Anaerobic Natural ,Pink Bourbon,X,,X,,,5,2,7,0,2,4,4,8,0,0,0,0,4,2,8,7,6,,7
20.1,Prodigal,Finca Los Jazmines,Colombia,Huila,Anaerobic Washed,Pink Bourbon,,X,,X,,7,8,6,0,2,8,6,2,0,0,0,0,3,0,8,4,3,,7
23.7,Aliena,FINCA EL PARAISO,Colombia,Cauca,Thermal Shock (with Red Plum),Castillo,,X,X,,,5,7,7,0,3,7,5,8,0,0,0,1,2,4,7,6,8,,7
20.4,D612,aGUaSaRca,NICARAGUA,"DIPILTO, NUEVA SEGOVIA",ANAEROBIC NATURAL SB,MARACATURRA,X,,X,,,8,4,6,1,8,9,4,5,0,0,3,0,6,2,8,1,5,,8
22.1,Coffee collective ,HERNESTO MACHACA,BOLIVIA,"CHOJÑAPAMAPA,",NATURAL,"CATUAI, CATURRA",,X,X,,,7,2,8,0,4,5,9,6,0,0,0,0,2,4,7,2,7,,7
22.3,April ,DIEGO DE LA CERDA,GUATEMALA,EL SOCORRO,WASHED,PACAMARA,,X,X,,,5,2,10,0,0,6,8,6,0,0,0,0,1,2,3,10,7,,10
17.5,La cabra ,Russilandia Castillo,Colombia,Tolima,Natural,Castillo,,X,X,,,3,2,7,0,0,2,4,4,0,2,1,0,5,5,6,7,8,,7
21.7,La cabra,Russilandia Gesha,Colombia,Tolima,Natural,Gesha ,,X,X,,,7,5,6,0,0,6,8,5,0,0,0,1,6,1,8,2,9,,9
14.1,Prolog,Metad,Ethiopia,Yirgacheffe,Fully washed,Heirloom variety,,X,X,,,2,0,2,0,0,3,2,6,0,0,0,0,0,7,4,10,3,,3
24.8,Friedhats ,FINCA JUAN MARTIN,Columbia ,Sotara,Washed,Gesha ,,X,X,,,4,5,7,0,0,7,8,6,1,0,0,1,6,6,7,9,6,,9
22.9,Hip Hop,La Perla,Peru,Amazonas,Washed,Caturra,X,,X,,,7,2,6,0,0,9,6,5,0,0,0,0,2,5,7,7,7,,8
23.3,La Cabra,"Juan Pena, La Papaya",Ecuador,Loja,Oak Barrel,Typica,X,,X,,,8,7,6,0,7,9,7,8,0,0,2,1,0,3,8,1,8,,9
24.2,DAK,Honeymoon,Colombia,Huila,Washed,Chiroso,X,,X,,,6,2,8,0,0,2,8,7,2,0,0,0,2,7,8,9,7,,9
28.6,DAK,BELLINI,Colombia,Acevedo,Semi-Washed,Geisha,,X,X,,,6,6,10,0,3,6,6,8,0,0,0,0,0,8,9,10,8,,9
16.2,Black Beach ,10 Bullets,Brazil,???,Anaerobic Natural,,,X,X,,,4,4,7,0,7,4,4,4,0,6,1,0,8,7,6,3,2,,4
15.3,Counter Culture X Fritz,Gemini,"Peru, Costa Rica","Incahuasi, Herbazu mill","Washed, Natural Sundried","Gesha, Villa Sarchi",X,,X,,,6,2,7,2,6,7,2,4,0,2,0,2,4,1,5,1,5,,7
27.7,Subtext,Gure Kesso,Ethiopia,Jimma,Washed,74112,X,,X,,,4,3,8,0,1,8,10,5,0,0,0,0,5,7,8,9,9,,9
27,Subtext,Kecho Anderacha,Ethiopia,Jimma,Washed,74112,X,,X,,,5,5,9,2,0,2,9,8,1,0,0,0,4,6,7,10,9,,8
22,Botz,Nguisse Nare,Ethiopia,Sidama,Anaerobic Natural,74158,X,,X,,,8,3,6,0,7,10,5,5,0,0,0,0,0,2,9,2,6,,10
14.4,4LW,San Bartolomé Ayautla,Mexico,Oaxaca,Washed,"Typica, Bourbon, Mundo Novo",X,,X,,,7,6,5,0,0,5,1,0,0,6,3,3,5,7,8,7,6,,6
16.1,September Coffee Co,Blackberry jam ,Colombia,"Piendamó, Cauca",Decaf washed anaerobic,Caturra,X,,X,,,7,1,8,0,5,8,2,1,0,2,0,0,3,2,6,2,4,,7
23.5,Subtext,Maria Delgado,Colombia,"Finca El Chaco, Buesaco Neriño",Washed,Caturra,X,,X,,,7,8,5,1,0,8,6,9,1,0,0,0,4,1,8,3,7,,7
26.6,Subtext,Shantawene Buncho,Ethiopia,Sidama,Honeuy,74158,X,,X,,,5,6,8,0,2,7,9,8,3,0,0,0,0,5,9,7,6,,7
26.1,Sey,"Florcita, Jose, & Pepe",Ecuador,Finca Soledad,Fully Washed,Sidra,X,,X,,,8,5,8,0,0,3,6,2,4,0,0,0,1,6,10,10,10,,9.7
20.8,ilse Coffee,Danche ,Ethiopia,"Gedeb, Yirgacheffe",Honey,Ethiopian Landrace,X,,X,,,3,4,8,0,1,4,9,2,3,0,0,0,3,5,6,4,7,,8
18.3,Subtext,Irma Trochez,Honduras ,Santa Barbara,Honey,Panainema,X,,X,,,6,6,3,2,3,4,1,8,1,0,0,2,6,3,8,1,8,,7.2
19.6,Subtext,Mensur Abahika #1,Ethiopia,Jimma,Washed,74110,X,,X,,,7,4,6,1,0,7,2,2,4,2,0,1,3,6,8,4,7,,6.5
22.3,Subtext,Ernedis Rodriguez,Colombia,Huila,Yeast Inoculated Washed,Castillo,X,,X,,,9,5,5,0,7,8,6,4,0,0,0,0,2,1,7,3,8,,7.8
23.7,Subtext,Arbegona Rumudamo,Ethiopia,Sidama,Washed,74158,X,,X,,,7,6,7,0,4,8,4,9,0,0,0,0,2,1,7,5,8,,8.3
26.2,Onyx,Silvia Herrera Gesha Natural,Mexico,Chiapas,Natural,Gesha,X,,X,,,9,8,9,2,4,9,8,3,0,1,0,2,3,2,8,5,9,,9
21.7,Onyx,El Socorro Maracaturra,Guatemala,Palencia,Washed,Maracaturra,X,,X,,,5,6,8,0,0,5,6,7,4,0,0,3,4,6,9,3,5,,6.7
27.4,Loveless,Maria Eugenia Arbolada,Colombia,Huila,Washed Yeast-Fermented,Gesha,X,,X,,,8,6,10,0,0,6,9,9,1,2,0,0,2,1,8,8,10,,10
18.3,Coffee collective ,Camacho,Colombia,Huila,"Washed, Extended Fermentation",??? (field blend),X,,X,,,7,2,7,0,4,8,4,2,3,4,0,1,6,3,7,2,6,,6.5
17.7,Onyx,Isaura Cuchumbe,Columbia ,Los Naranjos,Washed,Chiroso,X,,X,,,5,3,8,1,2,2,9,3,2,2,0,2,7,6,4,2,5,,6
24,Loveless,"Tiki Punch, Wilder Lasso",Colombia,Huila,Anerobic Natural,SL-28,X,,X,,,9,8,7,2,9,10,7,7,0,2,0,0,3,0,4,3,6,,9.2
25.6,H&S,La Bendicion,Nicaragua,Nueva Segovia,Natural,Pacamara,X,,X,,,8,4,9,2,3,8,7,7,4,2,0,0,3,5,7,4,7,,8.7
18.9,Enjoy,Juliana Guevara,Colombia,Huila,Washed - Mixed Fermentation Tecniques,Chiroso,X,,X,,,1,4,6,0,3,7,7,4,0,4,0,2,3,8,8,4,6,,7
28.6,A.M.O.C.,"Jose Giraldo, LAS MARAIS",Colombia,Quindio,double washed process,Gesha ,,X,X,,,7,3,9,2,3,8,9,7,1,0,0,0,5,3,9,8,8,,9.4
22.9,Kawa,FINCA MILAN COCO CO-FERMENT,Colombia,Risalda,coconut co-fermentation,"caturra,",,X,X,,,9,4,6,2,8,4,8,9,0,2,0,0,2,1,8,1,9,,8.4
17.1,Subtext,Luis Alberto Balladarez,Nicaragua,"Mozonte, Nueva Segovia",Natural,Maracaturra,X,,X,,,5,6,2,0,8,7,6,7,2,0,0,2,3,3,1,1,6,,7.2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
